aspect_id,judge,score
6e52f1c66c,J1,3
6e52f1c66c,J2,0
6e52f1c66c,J3,1
6e52f1c66c,J4,1
6e52f1c66c,J5,1
6e52f1c66c,J6,0
6e52f1c66c,J7,2
6e52f1c66c,J8,2
6e52f1c66c,J9,2
339d7fff38,J1,8.25
339d7fff38,J2,7.0
339d7fff38,J3,6.75
339d7fff38,J4,6.5
339d7fff38,J5,6.5
339d7fff38,J6,6.5
339d7fff38,J7,6.5
339d7fff38,J8,6.75
339d7fff38,J9,6.75
a474b16d60,J1,7.75
a474b16d60,J2,6.75
a474b16d60,J3,6.5
a474b16d60,J4,6.75
a474b16d60,J5,6.75
a474b16d60,J6,6.75
a474b16d60,J7,6.5
a474b16d60,J8,6.75
a474b16d60,J9,6.75
8b81eefd74,J1,8.0
8b81eefd74,J2,7.0
8b81eefd74,J3,7.0
8b81eefd74,J4,6.75
8b81eefd74,J5,6.75
8b81eefd74,J6,6.5
8b81eefd74,J7,6.75
8b81eefd74,J8,7.0
8b81eefd74,J9,6.75
f20bc3f849,J1,1
f20bc3f849,J2,1
f20bc3f849,J3,0
f20bc3f849,J4,1
f20bc3f849,J5,1
f20bc3f849,J6,2
f20bc3f849,J7,1
f20bc3f849,J8,1
f20bc3f849,J9,0
bcbdaa79d0,J1,-4
bcbdaa79d0,J2,-2
bcbdaa79d0,J3,-3
bcbdaa79d0,J4,-3
bcbdaa79d0,J5,-3
bcbdaa79d0,J6,-3
bcbdaa79d0,J7,-3
bcbdaa79d0,J8,-3
bcbdaa79d0,J9,-3
ab23900a0f,J1,3
ab23900a0f,J2,3
ab23900a0f,J3,2
ab23900a0f,J4,2
ab23900a0f,J5,2
ab23900a0f,J6,2
ab23900a0f,J7,2
ab23900a0f,J8,2
ab23900a0f,J9,3
c967bef060,J1,2
c967bef060,J2,2
c967bef060,J3,2
c967bef060,J4,2
c967bef060,J5,1
c967bef060,J6,1
c967bef060,J7,2
c967bef060,J8,1
c967bef060,J9,1
b6793fb3bd,J1,1
b6793fb3bd,J2,2
b6793fb3bd,J3,0
b6793fb3bd,J4,0
b6793fb3bd,J5,1
b6793fb3bd,J6,1
b6793fb3bd,J7,1
b6793fb3bd,J8,0
b6793fb3bd,J9,0
038076a53b,J1,1
038076a53b,J2,1
038076a53b,J3,-1
038076a53b,J4,-1
038076a53b,J5,0
038076a53b,J6,1
038076a53b,J7,1
038076a53b,J8,0
038076a53b,J9,1
965a820654,J1,1
965a820654,J2,1
965a820654,J3,0
965a820654,J4,1
965a820654,J5,0
965a820654,J6,0
965a820654,J7,2
965a820654,J8,1
965a820654,J9,1
6020ff26b9,J1,7.25
6020ff26b9,J2,7.0
6020ff26b9,J3,6.25
6020ff26b9,J4,6.5
6020ff26b9,J5,5.5
6020ff26b9,J6,6.75
6020ff26b9,J7,6.25
6020ff26b9,J8,5.5
6020ff26b9,J9,5.75
9a1e419b67,J1,7.0
9a1e419b67,J2,6.75
9a1e419b67,J3,6.0
9a1e419b67,J4,6.5
9a1e419b67,J5,5.75
9a1e419b67,J6,6.5
9a1e419b67,J7,6.25
9a1e419b67,J8,5.25
9a1e419b67,J9,5.75
6c52003986,J1,7.0
6c52003986,J2,7.25
6c52003986,J3,6.5
6c52003986,J4,6.25
6c52003986,J5,5.75
6c52003986,J6,7.0
6c52003986,J7,6.5
6c52003986,J8,5.75
6c52003986,J9,5.75
9717a4dc1e,J1,1
9717a4dc1e,J2,-1
9717a4dc1e,J3,0
9717a4dc1e,J4,0
9717a4dc1e,J5,1
9717a4dc1e,J6,-1
9717a4dc1e,J7,0
9717a4dc1e,J8,0
9717a4dc1e,J9,1
a7c901689f,J1,0
a7c901689f,J2,1
a7c901689f,J3,-1
a7c901689f,J4,-1
a7c901689f,J5,0
a7c901689f,J6,0
a7c901689f,J7,1
a7c901689f,J8,1
a7c901689f,J9,-1
5cf4d7d0cb,J1,-4
5cf4d7d0cb,J2,-5
5cf4d7d0cb,J3,-5
5cf4d7d0cb,J4,-3
5cf4d7d0cb,J5,-5
5cf4d7d0cb,J6,-4
5cf4d7d0cb,J7,-4
5cf4d7d0cb,J8,-5
5cf4d7d0cb,J9,-4
321415fbde,J1,0
321415fbde,J2,0
321415fbde,J3,1
321415fbde,J4,2
321415fbde,J5,0
321415fbde,J6,2
321415fbde,J7,2
321415fbde,J8,2
321415fbde,J9,2
e171379281,J1,1
e171379281,J2,1
e171379281,J3,1
e171379281,J4,0
e171379281,J5,1
e171379281,J6,0
e171379281,J7,2
e171379281,J8,1
e171379281,J9,1
25ab43d59d,J1,1
25ab43d59d,J2,0
25ab43d59d,J3,0
25ab43d59d,J4,1
25ab43d59d,J5,1
25ab43d59d,J6,1
25ab43d59d,J7,2
25ab43d59d,J8,1
25ab43d59d,J9,1
5f325c3251,J1,0
5f325c3251,J2,1
5f325c3251,J3,-1
5f325c3251,J4,-1
5f325c3251,J5,1
5f325c3251,J6,0
5f325c3251,J7,1
5f325c3251,J8,0
5f325c3251,J9,0
a62925392e,J1,7.25
a62925392e,J2,6.5
a62925392e,J3,6.0
a62925392e,J4,6.5
a62925392e,J5,6.25
a62925392e,J6,6.5
a62925392e,J7,6.75
a62925392e,J8,6.25
a62925392e,J9,6.25
171cd8f4c3,J1,6.75
171cd8f4c3,J2,6.25
171cd8f4c3,J3,6.25
171cd8f4c3,J4,6.5
171cd8f4c3,J5,6.0
171cd8f4c3,J6,6.5
171cd8f4c3,J7,6.5
171cd8f4c3,J8,6.0
171cd8f4c3,J9,6.0
fe524fd3c2,J1,7.0
fe524fd3c2,J2,6.5
fe524fd3c2,J3,6.5
fe524fd3c2,J4,6.25
fe524fd3c2,J5,6.25
fe524fd3c2,J6,6.5
fe524fd3c2,J7,6.5
fe524fd3c2,J8,5.75
fe524fd3c2,J9,5.75
4c6c53bb3e,J1,-1
4c6c53bb3e,J2,-1
4c6c53bb3e,J3,1
4c6c53bb3e,J4,0
4c6c53bb3e,J5,-1
4c6c53bb3e,J6,0
4c6c53bb3e,J7,1
4c6c53bb3e,J8,1
4c6c53bb3e,J9,0
23cea1dc53,J1,1
23cea1dc53,J2,2
23cea1dc53,J3,2
23cea1dc53,J4,1
23cea1dc53,J5,1
23cea1dc53,J6,1
23cea1dc53,J7,2
23cea1dc53,J8,2
23cea1dc53,J9,1
4eb05658a2,J1,-1
4eb05658a2,J2,1
4eb05658a2,J3,0
4eb05658a2,J4,1
4eb05658a2,J5,-2
4eb05658a2,J6,0
4eb05658a2,J7,1
4eb05658a2,J8,0
4eb05658a2,J9,1
4dc2cf8f69,J1,0
4dc2cf8f69,J2,2
4dc2cf8f69,J3,3
4dc2cf8f69,J4,2
4dc2cf8f69,J5,1
4dc2cf8f69,J6,1
4dc2cf8f69,J7,2
4dc2cf8f69,J8,2
4dc2cf8f69,J9,2
93c3c9ee39,J1,-2
93c3c9ee39,J2,1
93c3c9ee39,J3,1
93c3c9ee39,J4,-1
93c3c9ee39,J5,1
93c3c9ee39,J6,1
93c3c9ee39,J7,1
93c3c9ee39,J8,0
93c3c9ee39,J9,0
419a6f163e,J1,0
419a6f163e,J2,1
419a6f163e,J3,1
419a6f163e,J4,0
419a6f163e,J5,1
419a6f163e,J6,1
419a6f163e,J7,2
419a6f163e,J8,1
419a6f163e,J9,1
865349664f,J1,-2
865349664f,J2,-2
865349664f,J3,-2
865349664f,J4,-3
865349664f,J5,-2
865349664f,J6,-1
865349664f,J7,0
865349664f,J8,-1
865349664f,J9,-2
b21893abb9,J1,6.25
b21893abb9,J2,6.75
b21893abb9,J3,6.5
b21893abb9,J4,6.25
b21893abb9,J5,6.75
b21893abb9,J6,6.0
b21893abb9,J7,6.0
b21893abb9,J8,5.5
b21893abb9,J9,5.75
3b1227f27e,J1,5.75
3b1227f27e,J2,6.5
3b1227f27e,J3,6.5
3b1227f27e,J4,6.5
3b1227f27e,J5,6.0
3b1227f27e,J6,6.25
3b1227f27e,J7,6.5
3b1227f27e,J8,5.75
3b1227f27e,J9,5.5
8eea75eeab,J1,6.0
8eea75eeab,J2,7.0
8eea75eeab,J3,6.25
8eea75eeab,J4,6.0
8eea75eeab,J5,6.25
8eea75eeab,J6,6.25
8eea75eeab,J7,6.25
8eea75eeab,J8,5.5
8eea75eeab,J9,5.0
f2dac125c7,J1,-3
f2dac125c7,J2,-1
f2dac125c7,J3,-3
f2dac125c7,J4,-4
f2dac125c7,J5,-1
f2dac125c7,J6,-1
f2dac125c7,J7,-2
f2dac125c7,J8,-2
f2dac125c7,J9,-2
813e286258,J1,-1
813e286258,J2,-1
813e286258,J3,-3
813e286258,J4,-3
813e286258,J5,-1
813e286258,J6,-2
813e286258,J7,0
813e286258,J8,-2
813e286258,J9,-1
701d7ae7f4,J1,0
701d7ae7f4,J2,0
701d7ae7f4,J3,-1
701d7ae7f4,J4,0
701d7ae7f4,J5,-1
701d7ae7f4,J6,0
701d7ae7f4,J7,-1
701d7ae7f4,J8,0
701d7ae7f4,J9,0
bfd40f7c44,J1,1
bfd40f7c44,J2,1
bfd40f7c44,J3,2
bfd40f7c44,J4,1
bfd40f7c44,J5,0
bfd40f7c44,J6,0
bfd40f7c44,J7,1
bfd40f7c44,J8,1
bfd40f7c44,J9,1
2466fa064d,J1,0
2466fa064d,J2,1
2466fa064d,J3,0
2466fa064d,J4,0
2466fa064d,J5,0
2466fa064d,J6,1
2466fa064d,J7,0
2466fa064d,J8,1
2466fa064d,J9,0
f1c1ca7932,J1,1
f1c1ca7932,J2,0
f1c1ca7932,J3,-2
f1c1ca7932,J4,-1
f1c1ca7932,J5,-1
f1c1ca7932,J6,0
f1c1ca7932,J7,0
f1c1ca7932,J8,0
f1c1ca7932,J9,0
75cf20d5d4,J1,1
75cf20d5d4,J2,2
75cf20d5d4,J3,1
75cf20d5d4,J4,1
75cf20d5d4,J5,1
75cf20d5d4,J6,1
75cf20d5d4,J7,1
75cf20d5d4,J8,0
75cf20d5d4,J9,1
b9e2c1d943,J1,7.0
b9e2c1d943,J2,7.0
b9e2c1d943,J3,5.75
b9e2c1d943,J4,6.0
b9e2c1d943,J5,5.75
b9e2c1d943,J6,6.75
b9e2c1d943,J7,5.5
b9e2c1d943,J8,5.5
b9e2c1d943,J9,5.5
3acc919a3e,J1,7.0
3acc919a3e,J2,6.75
3acc919a3e,J3,5.75
3acc919a3e,J4,6.25
3acc919a3e,J5,6.0
3acc919a3e,J6,6.5
3acc919a3e,J7,5.5
3acc919a3e,J8,5.25
3acc919a3e,J9,5.5
0270d83ecb,J1,6.75
0270d83ecb,J2,6.75
0270d83ecb,J3,6.0
0270d83ecb,J4,6.0
0270d83ecb,J5,5.75
0270d83ecb,J6,6.5
0270d83ecb,J7,6.0
0270d83ecb,J8,6.0
0270d83ecb,J9,5.25
fc6fb786fb,J1,0
fc6fb786fb,J2,1
fc6fb786fb,J3,-3
fc6fb786fb,J4,-1
fc6fb786fb,J5,1
fc6fb786fb,J6,0
fc6fb786fb,J7,0
fc6fb786fb,J8,1
fc6fb786fb,J9,0
641958aba4,J1,2
641958aba4,J2,2
641958aba4,J3,2
641958aba4,J4,2
641958aba4,J5,2
641958aba4,J6,2
641958aba4,J7,2
641958aba4,J8,3
641958aba4,J9,3
f7573e9436,J1,-4
f7573e9436,J2,-5
f7573e9436,J3,-5
f7573e9436,J4,-4
f7573e9436,J5,-5
f7573e9436,J6,-4
f7573e9436,J7,-5
f7573e9436,J8,-5
f7573e9436,J9,-5
55e69a45f3,J1,0
55e69a45f3,J2,-1
55e69a45f3,J3,-2
55e69a45f3,J4,1
55e69a45f3,J5,-1
55e69a45f3,J6,-1
55e69a45f3,J7,-1
55e69a45f3,J8,0
55e69a45f3,J9,-1
c5e925ca26,J1,0
c5e925ca26,J2,-1
c5e925ca26,J3,-1
c5e925ca26,J4,-1
c5e925ca26,J5,0
c5e925ca26,J6,1
c5e925ca26,J7,1
c5e925ca26,J8,1
c5e925ca26,J9,0
19f2ef5d29,J1,0
19f2ef5d29,J2,1
19f2ef5d29,J3,-2
19f2ef5d29,J4,-1
19f2ef5d29,J5,1
